"name"
"stats","start","end","BigName","itemtype.href","itemtype.text","rarity","index","url"
"Attack","37","71","Cat Claws (II)","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment%20Type:%20Dagger","Type: Dagger","4","1","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Cat Claws (II)"
"Accuracy","92","92","","","","","2","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Cat Claws (II)"
"Attack","37","71","Platinum Dagger (XII)","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment%20Type:%20Dagger","Type: Dagger","4","3","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Platinum Dagger (XII)"
"Accuracy","92","92","","","","","4","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Platinum Dagger (XII)"
"Attack","38","72","Gladius (IX)","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment%20Type:%20Dagger","Type: Dagger","4","5","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Gladius (IX)"
"Accuracy","92","92","","","","","6","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Gladius (IX)"
"Attack","38","72","Maneater (VI)","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment%20Type:%20Dagger","Type: Dagger","4","7","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Maneater (VI)"
"Accuracy","92","92","","","","","8","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Maneater (VI)"
"Evasion","5","5","","","","","9","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Maneater (VI)"
"Attack","37","71","Swordbreaker (VI)","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment%20Type:%20Dagger","Type: Dagger","4","10","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Swordbreaker (VI)"
"Accuracy","92","92","","","","","11","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Swordbreaker (VI)"
"Evasion","5","5","","","","","12","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Swordbreaker (VI)"
"Attack","39","73","Dancing Dagger (IV)","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment%20Type:%20Dagger","Type: Dagger","4","13","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Dancing Dagger (IV)"
"Magic","4","4","","","","","14","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Dancing Dagger (IV)"
"Accuracy","89","89","","","","","15","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Dancing Dagger (IV)"
"Evasion","2","2","","","","","16","https://ffrkstrategy.gamematome.jp/game/951/wiki/Equipment_Rarity 4_Dancing Dagger (IV)"
